"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-M2NA-0016","REQ-M2NA-GAP-0052","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA5-WP; SRC-M2NA-AMD-CDNA5-ISA; SRC-M2NA-AMD-CDNA-LANDING","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0017","REQ-M2NA-GAP-0057","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CES2026-RELEASE","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","in_progress","m2_arch_nvidia_amd","needs_resolution","Current official material was checked; a fixed architecture document is not yet available, so the search remains open."
"SEARCH-M2NA-0018","REQ-M2NA-GAP-0058","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CES2026-RELEASE","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","in_progress","m2_arch_nvidia_amd","needs_resolution","Current official material was checked; a fixed architecture document is not yet available, so the search remains open."
"SEARCH-M2NA-0019","REQ-M2NA-GAP-0059","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0020","REQ-M2NA-GAP-0060","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0021","REQ-M2NA-GAP-0061","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0022","REQ-M2NA-GAP-0062","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0023","REQ-M2NA-GAP-0063","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0024","REQ-M2NA-GAP-0065","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0025","REQ-M2NA-GAP-0066","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0026","REQ-M2NA-GAP-0067","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0027","REQ-M2NA-GAP-0068","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0028","REQ-M2NA-GAP-0069","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0029","REQ-M2NA-GAP-0071","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0030","REQ-M2NA-GAP-0072","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0031","REQ-M2NA-GAP-0073","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0032","REQ-M2NA-GAP-0074","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0033","REQ-M2NA-GAP-0075","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0034","REQ-M2NA-GAP-0076","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0035","REQ-M2NA-GAP-0079","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","in_progress","m2_arch_nvidia_amd","needs_resolution","Current official material was checked; a fixed architecture document is not yet available, so the search remains open."
"SEARCH-M2NA-0036","REQ-M2NA-GAP-0080","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","in_progress","m2_arch_nvidia_amd","needs_resolution","Current official material was checked; a fixed architecture document is not yet available, so the search remains open."
"SEARCH-M2NA-0037","REQ-M2NA-GAP-0082","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0038","REQ-M2NA-GAP-0083","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0039","REQ-M2NA-GAP-0084","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0040","REQ-M2NA-GAP-0085","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0041","REQ-M2NA-GAP-0086","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0042","REQ-M2NA-GAP-0087","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0043","REQ-M2NA-GAP-0088","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0044","REQ-M2NA-GAP-0089","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0045","REQ-M2NA-GAP-0090","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0046","REQ-M2NA-GAP-0091","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0047","REQ-M2NA-GAP-0092","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0048","REQ-M2NA-GAP-0093","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0049","REQ-M2NA-GAP-0094","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0050","REQ-M2NA-GAP-0095","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0051","REQ-M2NA-GAP-0096","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0052","REQ-M2NA-GAP-0097","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0053","REQ-M2NA-GAP-0098","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0054","REQ-M2NA-GAP-0099","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0055","REQ-M2NA-GAP-0100","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0056","REQ-M2NA-GAP-0101","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0057","REQ-M2NA-GAP-0102","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA4-WP; SRC-M2NA-AMD-CDNA4-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0058","REQ-M2NA-GAP-0103","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA5-WP; SRC-M2NA-AMD-CDNA5-ISA; SRC-M2NA-AMD-CDNA-LANDING","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0059","REQ-M2NA-GAP-0104","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA5-WP; SRC-M2NA-AMD-CDNA5-ISA; SRC-M2NA-AMD-CDNA-LANDING","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0060","REQ-M2NA-GAP-0105","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA5-WP; SRC-M2NA-AMD-CDNA5-ISA; SRC-M2NA-AMD-CDNA-LANDING","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0061","REQ-M2NA-GAP-0106","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA5-WP; SRC-M2NA-AMD-CDNA5-ISA; SRC-M2NA-AMD-CDNA-LANDING","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0062","REQ-M2NA-GAP-0107","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA5-WP; SRC-M2NA-AMD-CDNA5-ISA; SRC-M2NA-AMD-CDNA-LANDING","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0063","REQ-M2NA-GAP-0108","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA5-WP; SRC-M2NA-AMD-CDNA5-ISA; SRC-M2NA-AMD-CDNA-LANDING","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0064","REQ-M2NA-GAP-0109","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0065","REQ-M2NA-GAP-0110","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0066","REQ-M2NA-GAP-0111","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0067","REQ-M2NA-GAP-0112","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0068","REQ-M2NA-GAP-0113","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0069","REQ-M2NA-GAP-0114","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0070","REQ-M2NA-GAP-0115","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0071","REQ-M2NA-GAP-0116","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0072","REQ-M2NA-GAP-0117","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0073","REQ-M2NA-GAP-0118","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0074","REQ-M2NA-GAP-0119","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0075","REQ-M2NA-GAP-0120","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0076","REQ-M2NA-GAP-0121","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0077","REQ-M2NA-GAP-0122","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0078","REQ-M2NA-GAP-0123","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0079","REQ-M2NA-GAP-0124","2026-08-12","Selected first-party corpus: SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1; SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024; SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0080","REQ-M2NA-GAP-0125","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0081","REQ-M2NA-GAP-0126","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0082","REQ-M2NA-GAP-0127","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0083","REQ-M2NA-GAP-0128","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0084","REQ-M2NA-GAP-0129","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0085","REQ-M2NA-GAP-0130","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA2-WP; SRC-M2NA-AMD-CDNA2-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0086","REQ-M2NA-GAP-0131","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0087","REQ-M2NA-GAP-0132","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0088","REQ-M2NA-GAP-0133","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
"SEARCH-M2NA-0089","REQ-M2NA-GAP-0134","2026-08-12","Selected first-party corpus: SRC-M2NA-AMD-CDNA3-WP; SRC-M2NA-AMD-CDNA3-ISA","architecture_whitepaper;api_or_isa_documentation;developer_documentation;conference_talk;press_release","no_reliable_result","m2_arch_nvidia_amd","draft","Planned first-party corpus was checked without a directly locatable architecture-level value."
